model,classes,use_meta,meta_only,epochs,norm,lr,batch_size,acc_mean,acc_std,macro_f1_mean,macro_f1_std,balanced_acc_mean,balanced_acc_std,avg_confidence_mean,avg_confidence_std,topk@1_mean,topk@1_std,topk@3_mean,topk@3_std,recall_min_mean,recall_min_std,recall_mean_mean,recall_mean_std,total_time_sec_mean,total_time_sec_std,n_runs
cnn,"7,9,10,11,12,13",True,False,30,per_sample,0.001,256,0.9965055329062318,,0.994996884780507,,0.9961482879504481,,0.9911494406594324,,0.9965055329062318,,1.0,,0.9900990099009901,,0.9961482879504481,,29.015111799992155,,1
cnn_ms2_359,"7,9,10,11,12,13",False,False,30,per_sample,0.001,256,0.9848573092603378,,0.9818357807562617,,0.9806888391148445,,0.9824535243026586,,0.9848573092603378,,0.9988351776354106,,0.9504950495049505,,0.9806888391148445,,50.30858260000241,,1
cnn_ms1_3715,"7,9,10,11,12,13",False,False,30,per_sample,0.001,256,0.9819452533488643,,0.9803836098490337,,0.9795440427118421,,0.980358855628523,,0.9819452533488643,,1.0,,0.9568345323741008,,0.9795440427118421,,34.934139699995285,,1
cnn_ms1_359,"7,9,10,11,12,13",False,False,30,per_sample,0.001,256,0.9784507862550961,,0.9765408746410783,,0.9735351361847346,,0.9794550680218564,,0.9784507862550961,,1.0,,0.9280575539568345,,0.9735351361847346,,35.91449480000301,,1
cnn,"7,9,10,11,12,13",False,False,30,per_sample,0.001,256,0.9732090856144437,,0.9716105335519704,,0.9748451796131237,,0.9763068984640707,,0.9732090856144437,,0.9982527664531159,,0.935251798561151,,0.9748451796131237,,27.900511100015137,,1
cnn_ms2_3715,"7,9,10,11,12,13",False,False,30,per_sample,0.001,256,0.9644729178800233,,0.9632511714246395,,0.9662908193816775,,0.9756275931103117,,0.9644729178800233,,0.9988351776354106,,0.9136690647482014,,0.9662908193816775,,54.287068900011946,,1
tcn,"7,9,10,11,12,13",False,False,20,per_sample,0.001,256,0.8625509609784507,,0.8282248327661591,,0.8478106960513866,,0.9021098364836683,,0.8625509609784507,,0.9801980198019802,,0.4321608040201005,,0.8478106960513866,,1615.8179678999877,,1
cnn,"7,9,10,11,12,13",True,True,30,per_sample,0.001,256,0.48281887012230634,,0.44317996734245974,,0.4950565845816229,,0.2096930981793234,,0.48281887012230634,,0.8736167734420501,,0.0,,0.4950565845816229,,29.693893599993316,,1
