run_dir,model,use_meta,meta_only,norm,epochs,batch_size,lr,val_ratio,seed,device,classes,num_workers,pin_memory,prefetch_factor,drop_last,data_path,acc,macro_f1,balanced_acc,avg_confidence,topk@1,topk@3,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_min,recall_mean,total_time_sec,last_epoch_time,best_val_macro_f1
runs\motor6_cnn_use_meta,cnn,True,False,per_sample,30,256,0.001,0.1,42,cuda,"7,9,10,11,12,13",0,False,1,False,whole_data.npy,0.9965055329062318,0.994996884780507,0.9961482879504481,0.9911494406594324,0.9965055329062318,1.0,1.0,1.0,0.9900990099009901,1.0,0.9939849624060151,0.9928057553956835,0.9900990099009901,0.9961482879504481,29.015111799992155,0.854415899986634,0.9980814439198772
runs\motor6_cnn_ms2_359_wave_only,cnn_ms2_359,False,False,per_sample,30,256,0.001,0.1,42,cuda,"7,9,10,11,12,13",0,False,1,False,whole_data.npy,0.9848573092603378,0.9818357807562617,0.9806888391148445,0.9824535243026586,0.9848573092603378,0.9988351776354106,0.9876543209876543,1.0,0.9504950495049505,1.0,0.9819548872180451,0.9640287769784173,0.9504950495049505,0.9806888391148445,50.30858260000241,1.5620369000243954,0.9841201109771932
runs\motor6_cnn_ms1_3715_wave_only,cnn_ms1_3715,False,False,per_sample,30,256,0.001,0.1,42,cuda,"7,9,10,11,12,13",0,False,1,False,whole_data.npy,0.9819452533488643,0.9803836098490337,0.9795440427118421,0.980358855628523,0.9819452533488643,1.0,0.9753086419753086,0.9849246231155779,0.9801980198019802,0.9965397923875432,0.9834586466165414,0.9568345323741008,0.9568345323741008,0.9795440427118421,34.934139699995285,1.0922837000107393,0.9782962763716355
runs\motor6_cnn_ms1_359_wave_only,cnn_ms1_359,False,False,per_sample,30,256,0.001,0.1,42,cuda,"7,9,10,11,12,13",0,False,1,False,whole_data.npy,0.9784507862550961,0.9765408746410783,0.9735351361847346,0.9794550680218564,0.9784507862550961,1.0,0.9814814814814815,0.9798994974874372,0.9801980198019802,0.9896193771626297,0.9819548872180451,0.9280575539568345,0.9280575539568345,0.9735351361847346,35.91449480000301,1.1173776999930851,0.9862775054545523
runs\motor6_cnn_wave_only,cnn,False,False,per_sample,30,256,0.001,0.1,42,cuda,"7,9,10,11,12,13",0,False,1,False,whole_data.npy,0.9732090856144437,0.9716105335519704,0.9748451796131237,0.9763068984640707,0.9732090856144437,0.9982527664531159,0.9907407407407407,0.9899497487437185,0.9801980198019802,0.9965397923875432,0.956390977443609,0.935251798561151,0.935251798561151,0.9748451796131237,27.900511100015137,0.8009340999997221,0.9921966779590446
runs\motor6_cnn_ms2_3715_wave_only,cnn_ms2_3715,False,False,per_sample,30,256,0.001,0.1,42,cuda,"7,9,10,11,12,13",0,False,1,False,whole_data.npy,0.9644729178800233,0.9632511714246395,0.9662908193816775,0.9756275931103117,0.9644729178800233,0.9988351776354106,0.9660493827160493,0.9849246231155779,0.9900990099009901,0.9896193771626297,0.9533834586466166,0.9136690647482014,0.9136690647482014,0.9662908193816775,54.287068900011946,1.5607471000112128,0.980675142042664
runs\motor6_tcn_wave_only,tcn,False,False,per_sample,20,256,0.001,0.1,42,cuda,"7,9,10,11,12,13",0,False,1,False,whole_data.npy,0.8625509609784507,0.8282248327661591,0.8478106960513866,0.9021098364836683,0.8625509609784507,0.9801980198019802,0.9814814814814815,0.4321608040201005,0.900990099009901,0.972318339100346,0.8646616541353384,0.935251798561151,0.4321608040201005,0.8478106960513866,1615.8179678999877,59.1063091000251,0.8514218539552793
runs\motor6_cnn_meta_only,cnn,True,True,per_sample,30,256,0.001,0.1,42,cuda,"7,9,10,11,12,13",0,False,1,False,whole_data.npy,0.48281887012230634,0.44317996734245974,0.4950565845816229,0.2096930981793234,0.48281887012230634,0.8736167734420501,0.0,0.5527638190954773,0.4752475247524752,0.6643598615916955,0.5729323308270676,0.7050359712230215,0.0,0.4950565845816229,29.693893599993316,0.869527000002563,0.46241169952390176
